Team,Games,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Denver Nuggets,82,240.6,47.6,108.1,.440,3.7,12.9,.283,43.9,95.2,.461,21.0,27.6,.763,18.5,30.9,49.4,24.5,10.4,5.0,16.2,27.3,119.9
Golden State Warriors,82,241.5,43.5,89.6,.485,3.3,9.8,.337,40.2,79.8,.504,26.4,33.7,.783,13.6,28.1,41.7,23.8,9.8,4.6,16.6,26.9,116.6
Portland Trail Blazers,82,242.7,43.6,89.9,.485,4.2,11.0,.377,39.5,78.8,.501,23.3,31.0,.753,14.7,31.2,45.9,27.5,8.8,5.0,16.0,24.1,114.7
Phoenix Suns,82,240.6,43.6,87.8,.496,1.7,5.3,.319,41.9,82.5,.508,25.2,32.7,.770,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114.0
Indiana Pacers,82,241.5,42.1,85.3,.493,3.0,9.1,.332,39.0,76.2,.513,24.5,30.2,.811,12.4,29.0,41.4,26.6,8.0,4.4,16.5,25.5,111.7
Boston Celtics,82,241.5,45.1,88.0,.512,1.3,4.2,.315,43.7,83.8,.522,20.1,24.4,.824,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5
Chicago Bulls,82,240.9,44.3,86.9,.510,1.9,5.2,.366,42.4,81.7,.519,19.6,25.7,.760,14.0,28.6,42.6,27.0,10.0,5.3,14.4,21.4,110.0
Atlanta Hawks,82,240.9,40.8,88.1,.464,3.3,10.2,.324,37.5,77.9,.482,24.8,31.0,.800,15.1,29.5,44.6,22.7,8.9,4.6,15.0,21.6,109.8
San Antonio Spurs,82,241.8,41.6,85.2,.488,1.0,3.6,.273,40.6,81.6,.497,23.0,30.0,.766,13.8,32.4,46.2,26.1,8.2,7.0,17.6,23.1,107.1
Houston Rockets,82,242.1,41.5,88.9,.467,3.9,12.1,.320,37.6,76.8,.490,19.9,26.8,.741,15.5,30.6,46.1,23.2,9.7,5.0,17.1,22.9,106.7
Seattle SuperSonics,82,242.4,42.7,86.8,.492,1.7,5.2,.319,41.0,81.6,.503,19.6,26.1,.750,14.9,26.5,41.4,24.9,10.5,4.6,17.1,24.1,106.6
Milwaukee Bucks,82,242.1,40.7,84.7,.480,3.1,9.2,.341,37.6,75.5,.497,21.9,27.3,.801,13.2,26.4,39.5,25.3,10.9,4.0,16.1,24.8,106.4
Los Angeles Lakers,82,241.8,40.8,84.3,.484,2.8,9.1,.304,38.0,75.2,.505,22.0,27.6,.798,13.1,29.8,42.9,25.5,7.8,4.7,14.7,18.6,106.3
Orlando Magic,82,241.2,40.2,88.5,.455,3.3,9.2,.358,36.9,79.3,.466,22.2,29.8,.743,15.0,29.6,44.7,22.1,7.3,3.7,17.0,24.1,105.9
Philadelphia 76ers,82,244.9,40.1,84.5,.475,2.4,7.5,.316,37.7,76.9,.491,22.8,28.9,.790,12.0,30.4,42.4,22.2,8.3,5.8,15.0,19.9,105.4
Utah Jazz,82,241.2,39.2,79.7,.492,1.8,5.6,.323,37.4,74.1,.504,23.8,30.1,.789,10.6,30.2,40.7,27.0,8.0,5.5,15.9,21.9,104.0
Los Angeles Clippers,82,241.5,41.4,89.2,.464,1.4,5.3,.260,40.0,83.9,.476,19.5,27.7,.702,15.2,30.5,45.7,25.8,8.8,6.2,17.5,24.9,103.5
New York Knicks,82,243.4,40.3,83.2,.485,2.3,6.8,.332,38.1,76.4,.499,20.2,26.2,.770,12.8,29.7,42.5,26.5,7.8,5.1,16.8,21.5,103.1
New Jersey Nets,82,241.8,40.4,91.0,.444,2.0,7.1,.275,38.4,83.8,.458,20.2,27.4,.739,17.1,28.6,45.7,21.7,9.1,7.3,17.4,23.8,102.9
Charlotte Hornets,82,241.5,40.1,85.8,.467,1.6,5.1,.314,38.5,80.7,.477,21.0,27.0,.779,12.5,26.8,39.4,24.6,9.3,3.7,15.7,23.7,102.8
Miami Heat,82,241.2,40.0,87.1,.459,1.7,5.7,.302,38.3,81.4,.470,20.1,28.1,.715,15.0,28.1,43.1,23.2,9.2,4.7,18.9,25.4,101.8
Cleveland Cavaliers,82,241.8,39.7,83.6,.475,2.0,5.8,.334,37.8,77.8,.486,20.3,26.5,.765,12.3,28.4,40.7,27.3,7.8,5.5,15.6,20.4,101.7
Washington Bullets,82,242.1,41.3,88.6,.466,0.7,3.5,.194,40.7,85.2,.478,18.0,24.7,.729,14.3,29.1,43.5,25.4,7.2,5.7,16.6,23.5,101.4
Detroit Pistons,82,241.5,39.0,83.8,.465,1.6,5.4,.298,37.4,78.5,.476,20.6,27.0,.763,14.7,29.9,44.6,22.3,5.9,4.5,14.4,22.8,100.1
Dallas Mavericks,82,241.5,39.6,84.0,.471,2.4,7.3,.322,37.2,76.7,.485,18.4,24.2,.761,12.0,28.8,40.8,22.2,7.1,4.8,14.5,22.4,99.9
Minnesota Timberwolves,82,242.7,39.8,88.7,.449,1.3,4.6,.283,38.5,84.1,.458,18.7,25.4,.735,15.5,25.8,41.3,23.0,8.7,5.4,13.0,22.7,99.6
Sacramento Kings,82,240.3,37.6,83.1,.453,2.6,7.0,.374,35.0,76.1,.460,18.8,25.7,.732,12.5,27.0,39.6,24.3,7.7,6.3,15.5,25.3,96.7
