Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,62,20,.756,—,100.9,93.4,7.44
Philadelphia 76ers,41,41,.500,21.0,97.4,97.3,0.16
New Jersey Nets,34,48,.415,28.0,98.1,100.5,-2.31
Toronto Raptors,33,49,.402,29.0,99.0,101.9,-2.54
New York Knicks,32,50,.390,30.0,105.2,107.8,-2.33
Cleveland Cavaliers,66,16,.805,—,100.3,91.4,8.68
Chicago Bulls,41,41,.500,25.0,102.2,102.5,-0.16
Detroit Pistons,39,43,.476,27.0,94.2,94.7,-0.36
Indiana Pacers,36,46,.439,30.0,105.1,106.2,-0.76
Milwaukee Bucks,34,48,.415,32.0,99.3,100.4,-0.88
Orlando Magic,59,23,.720,—,101.0,94.4,6.48
Atlanta Hawks,47,35,.573,12.0,98.1,96.5,1.70
Miami Heat,43,39,.524,16.0,98.3,98.0,0.49
Charlotte Bobcats,35,47,.427,24.0,93.6,94.9,-1.20
Washington Wizards,19,63,.232,40.0,96.1,103.5,-6.98
Denver Nuggets,54,28,.659,—,104.3,100.9,3.13
Portland Trail Blazers,54,28,.659,—,99.4,94.1,5.00
Utah Jazz,48,34,.585,6.0,103.6,100.9,2.31
Minnesota Timberwolves,24,58,.293,30.0,97.8,102.7,-4.74
Oklahoma City Thunder,23,59,.280,31.0,97.0,103.1,-6.04
Los Angeles Lakers,65,17,.793,—,106.9,99.3,7.11
Phoenix Suns,46,36,.561,19.0,109.4,107.5,1.62
Golden State Warriors,29,53,.354,36.0,108.6,112.3,-3.80
Los Angeles Clippers,19,63,.232,46.0,95.1,103.9,-8.47
Sacramento Kings,17,65,.207,48.0,100.6,109.3,-8.60
San Antonio Spurs,54,28,.659,—,97.0,93.3,3.36
Houston Rockets,53,29,.646,1.0,98.4,94.4,3.73
Dallas Mavericks,50,32,.610,4.0,101.7,99.8,1.68
New Orleans Hornets,49,33,.598,5.0,95.8,94.3,1.41
Memphis Grizzlies,24,58,.293,30.0,93.9,99.3,-5.23
