Team,W,L,W/L%,GB,PS/G,PA/G,SRS
New York Knicks,57,25,.695,—,98.5,91.5,6.48
Orlando Magic,50,32,.610,7.0,105.7,101.8,3.68
New Jersey Nets,45,37,.549,12.0,103.2,101.0,2.11
Miami Heat,42,40,.512,15.0,103.4,100.7,2.40
Boston Celtics,32,50,.390,25.0,100.8,105.1,-4.28
Philadelphia 76ers,25,57,.305,32.0,98.0,105.6,-7.37
Washington Bullets,24,58,.293,33.0,100.4,107.7,-7.13
Atlanta Hawks,57,25,.695,—,101.4,96.2,4.94
Chicago Bulls,55,27,.671,2.0,98.0,94.9,2.87
Indiana Pacers,47,35,.573,10.0,101.0,97.5,3.26
Cleveland Cavaliers,47,35,.573,10.0,101.2,97.1,3.64
Charlotte Hornets,41,41,.500,16.0,106.5,106.7,-0.23
Milwaukee Bucks,20,62,.244,37.0,96.9,103.4,-6.24
Detroit Pistons,20,62,.244,37.0,96.9,104.7,-7.46
Houston Rockets,58,24,.707,—,101.1,96.8,4.19
San Antonio Spurs,55,27,.671,3.0,100.0,94.8,5.05
Utah Jazz,53,29,.646,5.0,101.9,97.7,4.10
Denver Nuggets,42,40,.512,16.0,100.3,98.8,1.54
Minnesota Timberwolves,20,62,.244,38.0,96.7,103.6,-6.55
Dallas Mavericks,13,69,.159,45.0,95.1,103.8,-8.19
Seattle SuperSonics,63,19,.768,—,105.9,96.9,8.68
Phoenix Suns,56,26,.683,7.0,108.2,103.4,4.68
Golden State Warriors,50,32,.610,13.0,107.9,106.1,1.76
Portland Trail Blazers,47,35,.573,16.0,107.3,104.6,2.60
Los Angeles Lakers,33,49,.402,30.0,100.4,104.7,-3.93
Sacramento Kings,28,54,.341,35.0,101.1,106.9,-5.32
Los Angeles Clippers,27,55,.329,36.0,103.0,108.7,-5.28
