Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,59,23,.720,—,112.6,106.0,6.57
Philadelphia 76ers,45,37,.549,14.0,106.5,106.6,0.11
Washington Bullets,42,40,.512,17.0,106.0,107.3,-1.02
New Jersey Nets,24,58,.293,35.0,108.5,113.5,-4.42
New York Knicks,24,58,.293,35.0,103.8,110.0,-5.42
Atlanta Hawks,57,25,.695,—,110.0,102.8,7.18
Detroit Pistons,52,30,.634,5.0,111.2,107.8,3.51
Milwaukee Bucks,50,32,.610,7.0,110.4,106.5,4.04
Indiana Pacers,41,41,.500,16.0,106.1,106.7,-0.17
Chicago Bulls,40,42,.488,17.0,104.8,103.9,1.26
Cleveland Cavaliers,31,51,.378,26.0,104.4,108.2,-3.19
Dallas Mavericks,55,27,.671,—,116.7,110.4,5.54
Utah Jazz,44,38,.537,11.0,107.9,107.5,0.04
Houston Rockets,42,40,.512,13.0,106.9,105.9,0.60
Denver Nuggets,37,45,.451,18.0,116.7,117.6,-1.14
Sacramento Kings,29,53,.354,26.0,110.9,114.1,-3.34
San Antonio Spurs,28,54,.341,27.0,108.3,113.4,-5.09
Los Angeles Lakers,65,17,.793,—,117.8,108.5,8.32
Portland Trail Blazers,49,33,.598,16.0,117.9,114.8,2.57
Golden State Warriors,42,40,.512,23.0,112.0,114.4,-2.54
Seattle SuperSonics,39,43,.476,26.0,113.7,113.3,0.08
Phoenix Suns,36,46,.439,29.0,111.1,113.5,-2.63
Los Angeles Clippers,12,70,.146,53.0,104.5,115.9,-11.00
