Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Washington Bullets,54,28,.659,—,114.9,109.9,4.75
Philadelphia 76ers,47,35,.573,7.0,109.5,107.7,1.74
New Jersey Nets,37,45,.451,17.0,107.7,111.9,-4.00
New York Knicks,31,51,.378,23.0,107.7,111.1,-3.29
Boston Celtics,29,53,.354,25.0,108.2,113.3,-4.78
San Antonio Spurs,48,34,.585,—,119.3,114.1,4.97
Houston Rockets,47,35,.573,1.0,113.4,112.4,0.92
Atlanta Hawks,46,36,.561,2.0,109.1,107.1,1.92
Detroit Pistons,30,52,.366,18.0,110.0,112.7,-2.60
Cleveland Cavaliers,30,52,.366,18.0,106.5,110.2,-3.57
New Orleans Jazz,26,56,.317,22.0,108.3,114.6,-5.97
Kansas City Kings,48,34,.585,—,113.1,110.2,2.73
Denver Nuggets,47,35,.573,1.0,110.7,109.5,1.24
Milwaukee Bucks,38,44,.463,10.0,114.1,111.8,2.12
Indiana Pacers,38,44,.463,10.0,108.6,110.2,-1.41
Chicago Bulls,31,51,.378,17.0,104.7,108.7,-3.78
Seattle SuperSonics,52,30,.634,—,106.6,103.9,2.69
Phoenix Suns,50,32,.610,2.0,115.4,111.7,3.55
Los Angeles Lakers,47,35,.573,5.0,112.9,109.9,2.95
Portland Trail Blazers,45,37,.549,7.0,108.4,107.1,1.12
San Diego Clippers,43,39,.524,9.0,113.1,114.9,-1.76
Golden State Warriors,38,44,.463,14.0,105.1,104.8,0.46
