Team,W,L,W/L%,GB,PS/G,PA/G,SRS
New Jersey Nets,49,33,.598,—,95.4,90.1,4.42
Philadelphia 76ers,48,34,.585,1.0,96.8,94.5,1.76
Boston Celtics,44,38,.537,5.0,92.7,93.1,-0.75
Orlando Magic,42,40,.512,7.0,98.5,98.4,-0.39
Washington Wizards,37,45,.451,12.0,91.5,92.5,-1.47
New York Knicks,37,45,.451,12.0,95.9,97.2,-1.61
Miami Heat,25,57,.305,24.0,85.6,90.6,-5.13
Detroit Pistons,50,32,.610,—,91.4,87.7,2.97
Indiana Pacers,48,34,.585,2.0,96.8,93.3,2.79
New Orleans Hornets,47,35,.573,3.0,93.9,91.8,1.52
Milwaukee Bucks,42,40,.512,8.0,99.5,99.3,-0.24
Atlanta Hawks,35,47,.427,15.0,94.1,97.6,-3.87
Chicago Bulls,30,52,.366,20.0,95.0,100.1,-5.31
Toronto Raptors,24,58,.293,26.0,90.9,96.8,-6.10
Cleveland Cavaliers,17,65,.207,33.0,91.4,101.0,-9.59
San Antonio Spurs,60,22,.732,—,95.8,90.4,5.65
Dallas Mavericks,60,22,.732,—,103.0,95.2,7.90
Minnesota Timberwolves,51,31,.622,9.0,98.1,96.0,2.46
Utah Jazz,47,35,.573,13.0,94.7,92.3,2.76
Houston Rockets,43,39,.524,17.0,93.8,92.3,1.89
Memphis Grizzlies,28,54,.341,32.0,97.5,100.7,-2.60
Denver Nuggets,17,65,.207,43.0,84.2,92.4,-7.41
Sacramento Kings,59,23,.720,—,101.7,95.2,6.68
Los Angeles Lakers,50,32,.610,9.0,100.4,98.0,2.71
Portland Trail Blazers,50,32,.610,9.0,95.2,92.5,2.97
Phoenix Suns,44,38,.537,15.0,95.5,94.4,1.57
Seattle SuperSonics,40,42,.488,19.0,92.1,92.3,0.37
Golden State Warriors,38,44,.463,21.0,102.4,103.6,-0.60
Los Angeles Clippers,27,55,.329,32.0,93.8,97.9,-3.45
