Team,W,L,W/L%,GB,PS/G,PA/G,SRS
New York Knicks,52,30,.634,—,116.7,112.9,3.62
Philadelphia 76ers,46,36,.561,6.0,111.9,110.4,1.68
Boston Celtics,42,40,.512,10.0,109.2,108.1,1.26
Washington Bullets,40,42,.488,12.0,108.3,110.4,-1.77
New Jersey Nets,26,56,.317,26.0,103.7,110.1,-5.69
Charlotte Hornets,20,62,.244,32.0,104.5,113.0,-7.74
Detroit Pistons,63,19,.768,—,106.6,100.8,6.24
Cleveland Cavaliers,57,25,.695,6.0,108.8,101.2,7.95
Atlanta Hawks,52,30,.634,11.0,111.0,106.1,5.26
Milwaukee Bucks,49,33,.598,14.0,108.9,105.3,4.11
Chicago Bulls,47,35,.573,16.0,106.4,105.0,2.13
Indiana Pacers,28,54,.341,35.0,106.9,111.1,-3.00
Utah Jazz,51,31,.622,—,104.7,99.7,4.01
Houston Rockets,45,37,.549,6.0,108.5,107.5,0.22
Denver Nuggets,44,38,.537,7.0,118.0,116.3,0.91
Dallas Mavericks,38,44,.463,13.0,103.5,104.7,-1.79
San Antonio Spurs,21,61,.256,30.0,105.5,112.8,-7.45
Miami Heat,15,67,.183,36.0,97.8,109.0,-11.13
Los Angeles Lakers,57,25,.695,—,114.7,107.5,6.38
Phoenix Suns,55,27,.671,2.0,118.6,110.9,6.84
Seattle SuperSonics,47,35,.573,10.0,112.1,109.2,2.44
Golden State Warriors,43,39,.524,14.0,116.6,116.9,-0.59
Portland Trail Blazers,39,43,.476,18.0,114.6,113.1,0.92
Sacramento Kings,27,55,.329,30.0,105.5,111.0,-5.35
Los Angeles Clippers,21,61,.256,36.0,106.2,116.2,-9.50
