Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Chicago Bulls,82,241.5,40.3,86.5,.466,40.3,86.5,.466,17.4,23.3,.747,12.9,31.2,44.1,23.4,8.8,5.6,19.5,26.4,98.0
Cleveland Cavaliers,82,241.2,39.8,88.6,.449,39.8,88.6,.449,21.3,28.4,.752,14.7,33.1,47.7,21.2,8.0,4.7,18.8,23.3,101.0
New York Nets,82,240.6,40.0,86.3,.464,40.0,86.3,.464,22.7,30.3,.749,14.0,35.8,49.8,23.3,9.5,6.2,21.2,24.0,102.7
Los Angeles Lakers,82,241.5,42.9,94.9,.452,42.9,94.9,.452,18.4,24.3,.759,16.4,32.0,48.5,23.2,9.3,4.4,19.5,22.1,104.1
Phoenix Suns,82,240.6,40.5,87.7,.462,40.5,87.7,.462,23.2,30.8,.754,14.4,31.6,46.0,22.6,10.9,5.4,22.4,28.4,104.2
Washington Bullets,82,240.6,43.3,94.5,.458,43.3,94.5,.458,17.8,23.7,.752,14.2,31.3,45.5,23.1,9.9,4.2,18.4,25.5,104.5
Houston Rockets,82,241.2,41.8,89.7,.465,41.8,89.7,.465,21.3,27.5,.775,13.7,27.2,40.9,23.0,6.7,4.3,17.0,24.1,104.8
Seattle SuperSonics,82,241.5,41.4,89.5,.462,41.4,89.5,.462,22.7,30.2,.753,15.3,32.3,47.7,25.0,8.9,5.8,23.2,25.7,105.5
Portland Trail Blazers,82,240.6,41.6,90.3,.460,41.6,90.3,.460,23.0,30.7,.751,14.6,30.6,45.2,22.2,10.2,5.8,21.5,27.3,106.2
Philadelphia 76ers,82,241.2,43.6,96.6,.451,43.6,96.6,.451,19.0,25.3,.753,17.3,29.9,47.1,24.5,10.0,4.5,21.6,27.2,106.2
Atlanta Hawks,82,240.3,41.6,87.0,.478,41.6,87.0,.478,23.3,30.8,.755,13.7,30.9,44.6,24.6,9.8,5.4,20.6,26.5,106.4
Boston Celtics,82,241.8,43.4,96.4,.450,43.4,96.4,.450,19.7,26.6,.741,13.5,33.6,47.1,23.4,8.5,4.3,16.7,23.8,106.5
Kansas City Kings,82,241.8,41.7,88.3,.472,41.7,88.3,.472,23.3,30.6,.761,13.4,33.4,46.8,21.3,8.8,4.8,21.4,24.8,106.8
New Orleans Jazz,82,241.2,42.5,94.0,.452,42.5,94.0,.452,22.4,29.9,.749,16.1,33.9,50.0,21.3,10.2,4.4,19.7,25.9,107.4
Denver Nuggets,82,241.2,43.7,94.4,.463,43.7,94.4,.463,19.9,27.2,.733,15.5,30.3,45.7,25.4,11.5,5.7,23.7,27.9,107.4
Golden State Warriors,82,241.2,43.5,92.5,.470,43.5,92.5,.470,20.7,27.8,.745,15.3,32.2,47.5,25.8,9.2,5.1,21.7,23.6,107.7
Indiana Pacers,82,240.9,43.9,93.0,.472,43.9,93.0,.472,20.8,27.5,.757,16.8,33.8,50.6,25.6,8.7,5.7,21.9,24.9,108.6
New York Knicks,82,240.9,43.6,92.8,.470,43.6,92.8,.470,21.4,28.4,.753,14.2,33.1,47.3,22.5,9.7,5.0,19.7,24.5,108.6
Buffalo Braves,82,240.6,46.2,96.5,.478,46.2,96.5,.478,17.1,22.7,.755,15.5,33.2,48.6,26.7,8.9,5.4,19.6,26.0,109.5
Detroit Pistons,82,240.6,43.4,91.9,.472,43.4,91.9,.472,23.6,31.0,.760,16.1,32.2,48.2,23.8,9.7,4.6,22.3,22.3,110.4
Milwaukee Bucks,82,240.3,45.3,94.5,.479,45.3,94.5,.479,21.0,28.4,.739,15.4,31.9,47.3,26.7,9.0,5.0,20.0,23.7,111.5
San Antonio Spurs,82,240.9,48.0,98.5,.487,48.0,98.5,.487,18.4,25.1,.734,16.2,32.8,49.0,26.3,9.9,5.1,22.2,26.7,114.4
