Team,Age of Player at the start of February 1st of that season.,"Pythagorean wins, i.e., expected wins based on points scored and allowed","Pythagorean losses, i.e., expected losses based on points scored and allowed",Margin of Victory,Strength of Schedule,Simple Rating System,Offensive Rating,Defensive Rating,Pace Factor,Free Throw Attempt Rate,3-Point Attempt Rate,True Shooting Percentage,Effective Field Goal Percentage,Turnover Percentage,Offensive Rebound Percentage,Free Throws Per Field Goal Attempt,Opponent Effective Field Goal Percentage,Opponent Turnover Percentage,Defensive Rebound Percentage,Opponent Free Throws Per Field Goal Attempt,Arena
Chicago Bulls,27.6,66,16,10.44,-0.37,10.07,115.5,104.5,94.4,.297,.063,.556,.518,11.8,35.1,.221,.476,14.1,69.3,.219,Chicago Stadium
Portland Trail Blazers,28.1,59,23,7.27,-0.33,6.94,111.4,104.2,99.0,.335,.128,.541,.495,13.6,35.6,.253,.471,14.3,69.9,.251,Memorial Coliseum
Utah Jazz,28.5,57,25,6.39,-0.69,5.70,112.2,105.6,95.5,.363,.067,.557,.504,13.7,32.7,.286,.475,13.0,68.9,.214,Delta Center
Phoenix Suns,27.0,56,26,5.94,-0.26,5.68,112.1,106.2,99.4,.332,.083,.556,.508,13.1,31.7,.258,.471,13.0,67.7,.223,Arizona Veterans Memorial Coliseum
Cleveland Cavaliers,27.6,55,27,5.45,-0.11,5.34,113.9,108.2,95.0,.322,.101,.557,.506,11.8,30.5,.259,.483,12.3,66.5,.174,Coliseum at Richfield
Golden State Warriors,25.5,50,32,3.90,-0.14,3.77,113.6,109.9,103.4,.351,.103,.568,.524,13.6,31.8,.262,.499,14.9,64.2,.256,Oakland-Alameda County Coliseum Arena
New York Knicks,27.3,52,30,3.89,-0.22,3.67,108.3,104.2,92.9,.295,.089,.531,.491,13.7,34.6,.216,.471,14.0,71.1,.248,Madison Square Garden (IV)
Boston Celtics,29.2,51,31,3.62,-0.21,3.41,110.8,107.0,95.8,.266,.050,.544,.500,12.7,31.9,.215,.469,11.9,68.7,.220,Boston Garden
San Antonio Spurs,27.3,50,32,3.32,-0.51,2.81,107.5,104.1,96.2,.317,.057,.528,.485,13.9,34.2,.233,.469,13.5,69.8,.224,HemisFair Arena
Detroit Pistons,30.1,47,35,2.04,0.01,2.06,107.5,105.3,91.6,.307,.077,.520,.477,13.5,34.9,.228,.468,12.5,68.5,.204,The Palace of Auburn Hills
Seattle SuperSonics,27.3,46,36,1.88,-0.02,1.86,110.7,108.8,95.4,.317,.091,.538,.489,14.0,36.5,.249,.491,14.2,66.8,.269,Seattle Center Coliseum
Indiana Pacers,26.4,46,36,1.89,-0.04,1.85,111.7,109.9,99.0,.334,.133,.566,.518,14.7,31.8,.264,.483,12.8,67.4,.270,Market Square Arena
Los Angeles Clippers,27.3,44,38,1.07,0.03,1.10,105.8,104.7,96.5,.314,.071,.524,.483,13.6,31.6,.226,.475,14.9,67.5,.244,Los Angeles Memorial Sports Arena
Los Angeles Lakers,28.3,38,44,-1.10,0.15,-0.95,107.7,108.9,92.5,.327,.064,.516,.465,12.0,32.7,.250,.493,13.8,64.0,.187,Great Western Forum
Atlanta Hawks,27.2,37,45,-1.50,0.35,-1.15,107.3,108.9,97.8,.277,.090,.519,.481,13.0,33.6,.203,.497,13.2,68.3,.209,Omni Coliseum
Philadelphia 76ers,27.6,37,45,-1.27,-0.07,-1.34,108.3,109.7,93.7,.335,.101,.539,.488,13.8,30.9,.260,.496,13.0,66.4,.192,The Spectrum
Milwaukee Bucks,30.2,36,46,-1.71,0.26,-1.46,108.8,110.6,95.5,.292,.139,.529,.486,14.2,35.9,.221,.514,15.3,65.0,.237,Bradley Center
New Jersey Nets,25.6,36,46,-1.70,0.15,-1.54,107.0,108.7,98.0,.265,.088,.510,.473,14.1,39.1,.194,.488,14.1,66.3,.247,Brendan Byrne Arena
Houston Rockets,28.0,36,46,-1.72,-0.22,-1.94,106.2,108.0,95.1,.293,.139,.537,.499,15.0,30.9,.216,.477,12.5,66.4,.209,The Summit
Charlotte Hornets,25.2,31,51,-3.90,0.33,-3.57,107.1,110.9,101.7,.286,.049,.527,.485,13.0,31.1,.216,.510,14.1,65.4,.222,Charlotte Coliseum
Miami Heat,24.4,30,52,-4.21,0.27,-3.94,106.7,110.9,97.7,.330,.106,.532,.479,14.6,33.0,.260,.508,13.9,67.6,.235,Miami Arena
Washington Bullets,26.1,29,53,-4.46,0.11,-4.35,103.9,108.4,97.7,.268,.074,.514,.471,13.3,28.9,.208,.493,14.0,66.2,.235,Capital Centre
Sacramento Kings,25.1,26,56,-6.06,0.44,-5.63,103.9,109.9,99.6,.301,.094,.525,.482,14.3,28.5,.225,.493,13.9,64.2,.233,ARCO Arena (II)
Orlando Magic,26.6,23,59,-6.91,0.40,-6.52,103.5,110.5,98.0,.319,.086,.514,.467,14.6,32.4,.238,.502,13.5,67.8,.260,Orlando Arena
Minnesota Timberwolves,26.4,23,59,-7.05,0.20,-6.85,105.0,112.4,95.1,.253,.054,.505,.467,12.4,31.5,.188,.497,13.0,62.3,.244,Target Center
Dallas Mavericks,28.2,21,61,-7.65,0.18,-7.47,103.0,111.1,94.4,.281,.112,.501,.458,13.1,31.2,.211,.483,11.5,67.8,.259,Reunion Arena
Denver Nuggets,25.7,21,61,-7.87,0.28,-7.59,100.7,108.6,98.6,.280,.057,.493,.451,14.9,34.8,.207,.494,14.7,68.0,.279,McNichols Sports Arena
